,Unnamed: 0,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases,GDP
0,0,3/11/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,18.6,75,6.6,0.25,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
1,1,2/15/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,11.9,47,1.7,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
2,2,3/17/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,16.7,42,7.7,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
3,3,3/03/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,15.9,51,13.8,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
4,4,3/17/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,18.2,53,9.8,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
5,5,2/25/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,11.4,48,12.8,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
6,6,3/01/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,14.9,50,10.6,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
7,7,3/10/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,18.6,50,7.2,2.03,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
8,8,2/16/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,12.6,43,3.0,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
9,9,3/04/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,15.4,56,7.3,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
10,10,3/20/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,13.0,55,7.9,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
11,11,2/18/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,16.0,51,4.2,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
12,12,3/04/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,13.4,54,6.8,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
13,13,2/21/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,19.0,40,10.8,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
14,14,3/12/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,17.4,75,13.7,0.25,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
15,15,3/06/2020,US,Arizona,Confirmed,2,1,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,20.1,37,9.9,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
16,16,3/14/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,15.8,60,5.5,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
17,17,2/25/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,14.2,31,18.7,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
18,18,3/21/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,16.1,53,6.9,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
19,19,2/22/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,15.3,75,18.2,9.14,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
20,20,3/08/2020,US,Arizona,Confirmed,2,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,16.6,43,10.4,0.25,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
21,21,3/22/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,16.7,53,4.6,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
22,22,3/21/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,15.3,48,6.5,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
23,23,3/13/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,14.7,82,9.8,5.08,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
24,24,3/01/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,16.0,29,12.2,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
25,25,3/05/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,17.5,36,11.1,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
26,26,2/19/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,17.9,41,9.1,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
27,27,3/07/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,19.8,30,12.6,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
28,28,3/20/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,13.0,55,7.9,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
29,29,2/23/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,11.3,67,5.8,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
30,30,2/17/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,14.2,39,5.7,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
31,31,3/11/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,18.6,75,6.6,0.25,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
32,32,3/08/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,16.6,43,10.4,0.25,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
33,33,2/24/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,11.3,68,5.0,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
34,34,3/10/2020,US,Arizona,Confirmed,0,-2,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,18.6,61,8.0,5.59,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
35,35,3/07/2020,US,Arizona,Confirmed,2,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,20.2,37,12.5,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
36,36,2/22/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,15.4,77,11.7,9.14,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
37,37,2/14/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,12.7,47,6.4,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
38,38,3/15/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,16.2,48,5.9,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
39,39,3/22/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,15.5,46,5.4,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
40,40,3/14/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,14.4,63,3.6,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
41,41,2/28/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,15.8,48,6.4,0.0,15.98157895,55.73684211,8.336842105,1.570526316,3/06/2020,1.189207115002721,2.0,
42,42,2/14/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,12.7,47,6.4,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/08/2020,1.0,2.0,
43,43,3/02/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,13.3,44,10.2,0.0,14.91315789,48.07894737,8.573684211,0.681578947,3/11/2020,1.0,0.0,
