Country,World Bank Gini,CIA Gini
Afghanistan,,
Albania,33.2,26.9
Algeria,27.6,35.3
Angola,51.3,
Argentina,41.4,41.7
Armenia,34.4,30.3
Australia,34.4,30.3
Austria,29.7,26.3
Azerbaijan,26.6,33.7
Bahrain,,
Bangladesh,32.4,32.1
Belarus,25.2,26.5
Belgium,27.4,25.9
Belize,53.3,49.8
Benin,47.8,36.5
Bhutan,37.4,38.7
Bolivia,42.2,46.6
Bosnia and Herzegovina,33,36.2
Botswana,53.3,63
Brazil,53.9,47.5
Bulgaria,40.4,35.4
Burkina Faso,35.3,39.5
Burundi,38.6,42.4
Cambodia,,37.9
Cameroon,46.6,44.6
Canada,33.8,32.1
Cabo Verde,47.2,
Central African Republic,56.2,61.3
Chad,43.3,43.3
Chile,44.4,52.1
China,38.5,46.5
Colombia,50.4,53.5
Comoros,45.3,
DR Congo,42.1,
"Congo, Republic of the",48.9,
Costa Rica,48,50.3
Côte d'Ivoire,41.5,41.5
Croatia,30.4,32
Cuba,,
Cyprus,31.4,32.4
Czech Republic,24.9,24.9
Denmark,28.7,24.8
Djibouti,44.6,40.9
Dominican Republic,43.7,45.7
Ecuador,45.4,48.5
Egypt,31.5,30.8
El Salvador,38.6,46.9
Equatorial Guinea,,
Estonia,30.4,32.9
Eswatini,54.6,50.4
Ethiopia,35,33
European Union,,30.6
Fiji,36.7,
Finland,27.4,26.8
France,31.6,30.1
Gabon,38,
The Gambia,35.9,50.2
Georgia,36.4,46
Germany,31.9,27
Ghana,43.5,42.3
Greece,34.4,34.4
Guatemala,48.3,55.1
Guinea,33.7,39.4
Guinea-Bissau,50.7,
Guyana,44.6,44.6
Haiti,41.1,59.2
Honduras,52.1,57.7
Hong Kong,,53.7
Hungary,30.6,24.7
Iceland,26.8,28
India,37.8,35.1
Indonesia,39,38.8
Iran,40.8,44.5
Iraq,29.5,
Ireland,32.8,33.9
Israel,39,37.6
Italy,35.9,31.9
Jamaica,45.5,45.5
Japan,32.9,37.9
Jordan,33.7,39.7
Kazakhstan,27.5,28.9
Kenya,40.8,42.5
North Korea,,
South Korea,31.6,34.1
Kosovo,29,
Kuwait,,
Kyrgyzstan,27.7,33.4
Laos,36.4,36.7
Latvia,35.6,35.2
Lebanon,31.8,
Lesotho,44.9,63.2
Liberia,35.3,
Libya,,
Lithuania,37.3,35.5
Luxembourg,34.9,30.4
Macau,,35
North Macedonia,34.2,43.6
Madagascar,42.6,47.5
Malawi,44.7,39
Malaysia,41,46.2
Maldives,31.3,37.4
Mali,33,40.1
Malta,29.2,27.9
Mauritania,32.6,39
Mauritius,36.8,35.9
Mexico,45.4,48.3
Micronesia,40.1,
Moldova,25.7,33
Mongolia,32.7,36.5
Montenegro,39,26.2
Morocco,39.5,40.9
Mozambique,54,45.6
Myanmar,30.7,
Namibia,59.1,59.7
Nepal,32.8,32.8
Netherlands,28.5,25.1
New Zealand,,36.2
Nicaragua,46.2,40.5
Niger,34.3,34
Nigeria,43,43.7
Norway,27,26.8
Oman,,
Pakistan,33.5,29.6
Panama,49.2,51.9
Papua New Guinea,41.9,50.9
Paraguay,46.2,53.2
Peru,42.8,45.3
Philippines,44.4,46
Poland,29.7,34.1
Portugal,33.8,34.2
Qatar,,
Romania,36,27.3
Russia,37.5,42
Rwanda,43.7,46.8
Sao Tome and Principe,56.3,
Saudi Arabia,,
Senegal,40.3,40.3
Serbia,36.2,38.7
Seychelles,46.8,
Sierra Leone,35.7,62.9
Singapore,,46.4
Slovakia,25.2,25.3
Slovenia,24.2,23.7
Somalia,,
South Africa,63,62.5
South Sudan,46.3,46
Spain,34.7,34
Sri Lanka,39.8,49
St. Lucia,51.2,
Sudan,35.4,
Suriname,57.6,
Sweden,28.8,24.9
Switzerland,32.7,28.7
Syria,35.8,
Taiwan,,33.8
Tajikistan,34,32.6
Tanzania,40.5,37.6
Thailand,36.4,39.4
Timor-Leste,28.7,31.9
Togo,43.1,
Trinidad and Tobago,40.3,
Tunisia,32.8,40
Turkey,41.9,40.2
Turkmenistan,40.8,40.8
Uganda,42.8,39.5
Ukraine,26.1,28.2
United Arab Emirates,32.5,
United Kingdom,34.8,32.4
United States,41.4,47
Uruguay,39.7,45.3
Uzbekistan,35.3,36.8
Venezuela,46.9,39
Vietnam,35.7,37.6
Palestine,33.7,
Yemen,36.7,37.7
Zambia,57.1,57.5
Zimbabwe,44.3,50.1
World,,38
